# MvsR for tab1d_cold /home/gieg/projects/eos/RMF3/RMF3_TOV.d
# p_c, R_iso, M, Mb, R, Lambda, e_c, R_inv
 5.410254e-05 7.595378e+00 6.985604e-01 7.276799e-01 8.310000e+00 1.576422e+04 8.762779e-04 8.805701e+00
 5.412625e-05 7.595175e+00 6.987540e-01 7.278924e-01 8.310000e+00 1.574485e+04 8.764011e-04 8.805820e+00
 5.414997e-05 7.594972e+00 6.989477e-01 7.281048e-01 8.310000e+00 1.572458e+04 8.765243e-04 8.805938e+00
 5.417370e-05 7.594769e+00 6.991414e-01 7.283174e-01 8.310000e+00 1.570109e+04 8.766475e-04 8.806056e+00
 5.419744e-05 7.593563e+00 6.993352e-01 7.285299e-01 8.309000e+00 1.568395e+04 8.767708e-04 8.805078e+00
 5.422119e-05 7.593360e+00 6.995289e-01 7.287425e-01 8.309000e+00 1.566032e+04 8.768941e-04 8.805196e+00
 5.424495e-05 7.593157e+00 6.997228e-01 7.289552e-01 8.309000e+00 1.563676e+04 8.770174e-04 8.805314e+00
 5.426872e-05 7.592954e+00 6.999166e-01 7.291679e-01 8.309000e+00 1.562508e+04 8.771407e-04 8.805433e+00
 5.429250e-05 7.592751e+00 7.001105e-01 7.293807e-01 8.309000e+00 1.560167e+04 8.772640e-04 8.805551e+00
 5.431629e-05 7.592547e+00 7.003045e-01 7.295935e-01 8.309000e+00 1.557502e+04 8.773874e-04 8.805669e+00
 5.434009e-05 7.592344e+00 7.004984e-01 7.298064e-01 8.309000e+00 1.555596e+04 8.775108e-04 8.805788e+00
 5.436390e-05 7.592141e+00 7.006925e-01 7.300193e-01 8.309000e+00 1.553532e+04 8.776342e-04 8.805906e+00
 5.438772e-05 7.591937e+00 7.008865e-01 7.302322e-01 8.309000e+00 1.551383e+04 8.777577e-04 8.806024e+00
 5.441155e-05 7.591734e+00 7.010806e-01 7.304452e-01 8.309000e+00 1.549670e+04 8.778811e-04 8.806143e+00
 5.443540e-05 7.591530e+00 7.012747e-01 7.306583e-01 8.309000e+00 1.547208e+04 8.780046e-04 8.806261e+00
 5.445925e-05 7.591326e+00 7.014689e-01 7.308714e-01 8.309000e+00 1.544896e+04 8.781281e-04 8.806380e+00
 5.448311e-05 7.590121e+00 7.016631e-01 7.310845e-01 8.308000e+00 1.543753e+04 8.782517e-04 8.805401e+00
 5.450699e-05 7.589917e+00 7.018573e-01 7.312977e-01 8.308000e+00 1.541395e+04 8.783752e-04 8.805520e+00
 5.453087e-05 7.589713e+00 7.020516e-01 7.315110e-01 8.308000e+00 1.538900e+04 8.784988e-04 8.805638e+00
 5.455477e-05 7.589510e+00 7.022459e-01 7.317243e-01 8.308000e+00 1.537007e+04 8.786224e-04 8.805757e+00
 5.457867e-05 7.589306e+00 7.024403e-01 7.319376e-01 8.308000e+00 1.534833e+04 8.787460e-04 8.805876e+00
 5.460259e-05 7.589102e+00 7.026347e-01 7.321510e-01 8.308000e+00 1.532772e+04 8.788697e-04 8.805994e+00
 5.462652e-05 7.588898e+00 7.028291e-01 7.323645e-01 8.308000e+00 1.531069e+04 8.789933e-04 8.806113e+00
 5.465045e-05 7.588694e+00 7.030236e-01 7.325779e-01 8.308000e+00 1.528572e+04 8.791170e-04 8.806231e+00
 5.467440e-05 7.588490e+00 7.032181e-01 7.327915e-01 8.308000e+00 1.526414e+04 8.792407e-04 8.806350e+00
 5.469836e-05 7.588286e+00 7.034127e-01 7.330051e-01 8.308000e+00 1.525281e+04 8.793645e-04 8.806469e+00
 5.472233e-05 7.588082e+00 7.036072e-01 7.332187e-01 8.308000e+00 1.522865e+04 8.794883e-04 8.806587e+00
 5.474631e-05 7.587878e+00 7.038019e-01 7.334324e-01 8.308000e+00 1.520456e+04 8.796121e-04 8.806706e+00
 5.477030e-05 7.586672e+00 7.039965e-01 7.336461e-01 8.307000e+00 1.518543e+04 8.797359e-04 8.805728e+00
