redshift    gw_detected    grb_detected    DeltaOmega    telt_vr    lsstg    lssti    telt_ztf    ztfg    ztfi    telt_pstarrs    ps1::g    ps1::i    telt_ultrasat    ultrasat_custom    radio_afterglow    opt_afterglow    xray_afterglow    telt_vr_afterglow 
1.562    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.293    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.489    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.289    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.268    1    0    11726.90    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.870    1    0    4076.67    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
3.170    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.769    1    0    1860.37    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
2.516    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.186    1    0    46.54    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0.0 
1.294    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.172    1    0    6811.06    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.875    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
3.045    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
2.156    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.898    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
2.749    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
2.325    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.388    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.781    1    0    4796.70    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.581    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
2.635    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.845    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
2.283    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.303    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.590    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
2.371    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.586    1    0    1219.12    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.142    1    0    5623.86    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.886    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
2.290    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
2.436    1    0    29022.25    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
2.334    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.055    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.701    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.272    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
5.145    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.783    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.339    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.734    1    0    5565.83    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.843    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
2.025    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
2.290    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.846    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.024    0    1    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.202    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.369    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.282    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
4.240    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.565    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.241    1    0    431.98    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
4.369    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.530    1    0    525.58    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.942    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.443    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.981    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
2.423    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.415    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.995    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.078    1    0    7019.94    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.732    1    0    1005.80    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
2.604    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.120    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
2.097    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.980    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.093    1    0    6672.95    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
2.349    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.712    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.490    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.279    0    1    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.353    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.619    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.540    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.457    1    0    11513.30    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.912    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.479    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.176    0    1    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.781    1    0    10038.81    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.855    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.236    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
6.142    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.089    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.982    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.283    1    0    99.72    0    0    0    0    0    0    0    0    0    0.020833333333333332    0    0    0    0    0.0 
1.340    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.091    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.836    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.314    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.750    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
2.099    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.256    1    0    153.47    0    0    0    0    0    0    0    0    0    0.020833333333333332    0    0    0    0    0.0 
4.989    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
2.166    1    0    18598.40    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.569    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.806    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.604    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.944    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.495    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.240    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.050    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.290    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.121    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
2.333    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.305    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.541    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.246    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.055    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
